season,team,first_half_wins,second_half_wins
2016,GSW,37,36
2016,OKC,29,26
2016,SAC,18,15
2016,HOU,21,20
2016,BOS,22,26
2016,POR,17,27
2016,LAC,27,26
2016,CLE,30,27
2016,WAS,20,21
2016,SAS,35,32
2016,CHO,19,29
2016,ATL,24,24
2016,NOP,14,16
2016,TOR,26,30
2016,MIN,12,17
2016,DAL,23,19
2016,IND,22,23
2016,ORL,20,15
2016,DET,22,22
2016,DEN,16,17
2016,CHI,24,18
2016,PHO,13,10
2016,MIA,23,25
2016,MEM,22,20
2016,MIL,16,17
2016,BRK,11,10
2016,NYK,20,12
2016,UTA,18,22
2016,PHI,4,6
2016,LAL,9,8
2017,GSW,35,32
2017,HOU,31,24
2017,DEN,17,23
2017,CLE,30,21
2017,WAS,22,27
2017,LAC,27,24
2017,BOS,26,27
2017,POR,18,23
2017,PHO,13,11
2017,TOR,28,23
2017,OKC,24,23
2017,BRK,8,12
2017,MIN,14,17
2017,SAS,32,29
2017,IND,22,20
2017,CHO,20,16
2017,LAL,15,11
2017,NOP,16,18
2017,NYK,18,13
2017,MIL,20,22
2017,MIA,11,30
2017,ATL,24,19
2017,CHI,20,21
2017,SAC,16,16
2017,PHI,15,13
2017,DET,18,19
2017,ORL,17,12
2017,UTA,25,26
2017,MEM,24,19
2017,DAL,14,19
2018,GSW,33,25
2018,HOU,30,35
2018,NOP,21,27
2018,TOR,29,30
2018,CLE,26,24
2018,DEN,21,25
2018,PHI,21,31
2018,MIN,25,22
2018,LAC,20,22
2018,CHO,16,20
2018,LAL,14,21
2018,OKC,22,26
2018,WAS,23,20
2018,BRK,15,13
2018,MIL,22,22
2018,POR,22,27
2018,IND,21,27
2018,NYK,19,10
2018,UTA,17,31
2018,BOS,31,24
2018,PHO,15,6
2018,DET,22,17
2018,MIA,24,20
2018,ORL,12,13
2018,ATL,11,13
2018,CHI,14,13
2018,SAS,27,20
2018,DAL,13,11
2018,MEM,13,9
2018,SAC,13,14
2019,MIL,29,31
2019,GSW,27,30
2019,NOP,19,14
2019,PHI,27,24
2019,LAC,24,24
2019,POR,24,29
2019,OKC,25,24
2019,TOR,29,29
2019,SAC,20,19
2019,WAS,16,16
2019,HOU,24,29
2019,ATL,12,17
2019,MIN,20,16
2019,BOS,25,24
2019,BRK,20,22
2019,LAL,22,15
2019,UTA,20,30
2019,SAS,24,24
2019,CHO,19,20
2019,DEN,28,26
2019,DAL,19,14
2019,IND,27,21
2019,PHO,9,10
2019,ORL,17,25
2019,DET,18,23
2019,MIA,21,18
2019,CHI,10,12
2019,NYK,10,7
2019,CLE,8,11
2019,MEM,19,14
