season,team,first_half_wins,second_half_wins
2016,WSH,31,25
2016,DAL,28,22
2016,STL,23,26
2016,PIT,20,28
2016,ANA,17,29
2016,CHI,24,23
2016,FLA,25,22
2016,LAK,26,22
2016,NYR,22,24
2016,NYI,22,23
2016,SJS,21,25
2016,TBL,20,26
2016,PHI,19,22
2016,NSH,19,22
2016,BOS,21,21
2016,DET,21,20
2016,MIN,22,16
2016,CAR,16,19
2016,OTT,19,19
2016,NJD,20,18
2016,COL,20,19
2016,MTL,22,16
2016,BUF,15,20
2016,WPG,19,16
2016,ARI,21,14
2016,CGY,19,16
2016,CBJ,15,19
2016,VAN,16,15
2016,EDM,17,14
2016,TOR,16,13
2017,WSH,27,28
2017,PIT,26,24
2017,CHI,24,26
2017,CBJ,29,21
2017,MIN,27,22
2017,ANA,21,25
2017,EDM,21,26
2017,MTL,25,22
2017,NYR,27,21
2017,STL,21,25
2017,SJS,25,21
2017,OTT,22,22
2017,BOS,20,24
2017,TOR,20,20
2017,NYI,16,25
2017,NSH,18,23
2017,TBL,19,23
2017,CGY,21,24
2017,PHI,21,18
2017,CAR,19,17
2017,WPG,19,21
2017,LAK,20,19
2017,FLA,17,18
2017,DET,17,16
2017,DAL,17,17
2017,BUF,16,17
2017,NJD,16,12
2017,ARI,13,17
2017,VAN,20,10
2017,COL,13,9
2018,NSH,24,29
2018,WPG,23,29
2018,TBL,29,25
2018,BOS,24,26
2018,VEG,29,22
2018,TOR,23,26
2018,WSH,25,24
2018,ANA,19,25
2018,MIN,22,23
2018,SJS,22,23
2018,PIT,20,27
2018,LAK,24,21
2018,PHI,18,24
2018,NJD,22,22
2018,CBJ,23,22
2018,FLA,17,27
2018,COL,22,21
2018,STL,24,20
2018,DAL,22,20
2018,CGY,21,16
2018,CAR,19,17
2018,NYI,20,15
2018,EDM,18,18
2018,NYR,22,12
2018,CHI,20,13
2018,VAN,16,15
2018,DET,17,13
2018,MTL,17,12
2018,ARI,9,20
2018,OTT,14,14
2018,BUF,10,15
2019,TBL,32,30
2019,BOS,23,26
2019,CGY,25,25
2019,WSH,25,23
2019,NYI,23,25
2019,SJS,21,25
2019,TOR,27,19
2019,NSH,24,23
2019,PIT,23,21
2019,STL,17,28
2019,WPG,26,21
2019,CAR,19,27
2019,CBJ,24,23
2019,MTL,22,22
2019,VEG,22,21
2019,DAL,21,22
2019,COL,19,19
2019,FLA,17,19
2019,ARI,17,22
2019,CHI,15,21
2019,MIN,21,16
2019,PHI,15,22
2019,VAN,19,16
2019,ANA,19,16
2019,EDM,19,16
2019,NYR,17,15
2019,BUF,22,11
2019,DET,15,17
2019,NJD,16,15
2019,LAK,16,15
2019,OTT,15,14
